freq;unit;hhtyp;geo\TIME_PERIOD,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 
A;PC_HH;TOTAL;AT,60 ,69 ,70 ,73 ,75 ,79 ,81 ,81 ,82 ,85 ,89 ,89 
A;PC_HH;TOTAL;BE,60 ,64 ,67 ,73 ,77 ,78 ,80 ,83 ,82 ,85 ,86 ,87 
A;PC_HH;TOTAL;BG,19 ,25 ,30 ,33 ,45 ,51 ,54 ,57 ,59 ,64 ,67 ,72 
A;PC_HH;TOTAL;CY,39 ,43 ,53 ,54 ,57 ,62 ,65 ,69 ,71 ,74 ,79 ,86 
A;PC_HH;TOTAL;CZ,35 ,46 ,54 ,61 ,67 ,73 ,73 ,78 ,79 ,82 ,83 ,86 
A;PC_HH;TOTAL;DE,71 ,75 ,79 ,82 ,83 ,85 ,88 ,89 ,90 ,92 ,93 ,94 
A;PC_HH;TOTAL;DK,78 ,82 ,83 ,86 ,90 ,92 ,93 ,93 ,92 ,94 ,97 ,93 
A;PC_HH;TOTAL;EE,52 ,57 ,62 ,67 ,69 ,74 ,79 ,83 b,88 ,86 ,88 ,90 
A;PC_HH;TOTAL;EL,25 ,31 ,38 ,46 ,50 ,54 ,56 ,66 ,68 ,69 ,71 ,76 
A;PC_HH;TOTAL;ES,43 ,50 ,53 ,58 ,63 ,67 ,70 ,74 ,79 ,82 ,83 ,86 
A;PC_HH;TOTAL;EU28,55 ,60 ,66 ,70 ,73 ,76 ,79 ,81 ,83 ,85 ,87 ,89 
A;PC_HH;TOTAL;FI,69 ,72 ,78 ,81 ,84 ,87 ,89 ,90 ,90 ,92 ,94 ,94 
A;PC_HH;TOTAL;FR,55 ,62 ,69 ,74 ,76 ,80 ,82 ,83 ,83 ,86 ,86 ,89 
A;PC_HH;TOTAL;HR,41 ,45 ,50 ,56 ,61 ,66 ,65 ,68 ,77 ,77 ,76 ,82 
A;PC_HH;TOTAL;HU,38 ,47 ,53 ,58 ,63 ,67 ,70 ,73 ,76 ,79 ,82 ,83 
A;PC_HH;TOTAL;IE,57 ,63 ,67 ,72 ,78 ,81 ,82 ,82 ,85 ,87 ,88 ,89 
A;PC_HH;TOTAL;IS,84 ,88 ,90 ,92 ,93 ,95 ,96 ,96 ,: ,: ,98 ,99 
A;PC_HH;TOTAL;IT,43 ,47 ,53 ,59 ,62 ,63 ,69 ,73 ,75 ,79 ,81 ,84 
A;PC_HH;TOTAL;LT,44 ,51 ,60 ,61 ,60 ,60 ,65 ,66 ,68 ,72 ,75 ,78 
A;PC_HH;TOTAL;LU,75 ,80 ,87 ,90 ,91 ,93 ,94 ,96 ,97 ,97 ,97 ,93 b
A;PC_HH;TOTAL;LV,51 ,53 ,58 ,60 ,64 ,69 ,72 ,73 ,76 ,77 b,79 ,82 
A;PC_HH;TOTAL;MK,: ,29 ,42 ,46 ,: ,58 ,65 ,68 ,69 ,75 ,74 ,79 
A;PC_HH;TOTAL;MT,54 ,59 ,64 ,70 ,75 ,77 ,78 ,80 ,81 ,81 ,85 ,84 
A;PC_HH;TOTAL;NL,83 ,86 ,90 ,91 ,94 ,94 ,95 ,96 ,96 ,97 ,98 ,98 
A;PC_HH;TOTAL;NO,78 ,84 ,86 ,90 ,92 ,93 ,94 ,93 ,97 ,97 ,97 ,96 
A;PC_HH;TOTAL;PL,41 ,48 ,59 ,63 ,67 ,70 ,72 ,75 ,76 ,80 ,82 ,84 
A;PC_HH;TOTAL;PT,40 ,46 ,48 ,54 ,58 ,61 ,62 ,65 ,70 ,74 ,77 ,79 
A;PC_HH;TOTAL;RO,22 ,30 ,38 ,42 ,47 ,54 ,58 ,61 b,68 ,72 ,76 ,81 
A;PC_HH;TOTAL;RS,26 ,: ,37 ,: ,: ,: ,: ,: ,64 ,: ,68 ,73 
A;PC_HH;TOTAL;SE,79 ,84 ,86 ,88 ,91 ,92 ,93 ,90 ,91 ,94 b,95 ,92 
A;PC_HH;TOTAL;SI,58 ,59 ,64 ,68 ,73 ,74 ,76 ,77 ,78 ,78 ,82 ,87 
A;PC_HH;TOTAL;SK,46 ,58 ,62 ,67 ,71 ,75 ,78 ,78 ,79 ,81 ,81 ,81 
A;PC_HH;TOTAL;TR,20 ,25 ,30 ,42 ,: ,47 ,49 ,60 ,70 ,76 ,81 ,84 
A;PC_HH;TOTAL;UK,67 ,71 ,77 ,80 ,83 ,87 ,88 ,90 ,91 ,93 ,94 ,95 
